Source,Count
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
1,1
1,1
9,9
1,1
1,1
1,1
1,1
1,1
1,1
3,3
1,1
1,1
2,2
1,1
1,1
1,1
2,2
1,1
1,1
1,1
2,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
1,1
2,2
2,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
3,3
5,5
3,3
1,1
1,1
1,1
1,1
2,2
1,1
1,1
1,1
1,1
1,1
1,1
3,3
1,1
2,2
1,1
1,1
1,1
1,1
2,2
4,4
1,1
1,1
3,3
2,2
2,2
1,1
1,1
1,1
2,2
1,1
2,2
1,1
1,1
2,2
1,1
1,1
7,7
1,1
2,2
2,2
1,1
2,2
3,3
2,2
2,2
1,1
4,4
1,1
1,1
1,1
2,2
1,1
1,1
2,2
1,1
2,2
1,1
1,1
2,2
3,3
2,2
1,1
2,2
1,1
1,1
1,1
2,2
2,2
3,3
1,1
3,3
1,1
2,2
4,4
4,4
2,2
4,4
3,3
1,1
2,2
2,2
2,2
3,3
4,4
1,1
1,1
3,3
1,1
4,4
2,2
2,2
5,5
4,4
3,3
5,5
3,3
3,3
1,1
3,3
1,1
2,2
3,3
3,3
2,2
3,3
2,2
3,3
2,2
2,2
4,4
3,3
7,7
4,4
2,2
2,2
3,3
4,4
1,1
2,2
3,3
3,3
2,2
3,3
3,3
3,3
1,1
3,3
3,3
2,2
1,1
5,5
2,2
7,7
4,4
3,3
1,1
2,2
3,3
3,3
2,2
1,1
3,3
5,5
1,1
1,1
1,1
1,1
1,1
4,4
4,4
2,2
1,1
4,4
1,1
2,2
2,2
5,5
5,5
3,3
4,4
3,3
2,2
2,2
4,4
4,4
6,6
1,1
3,3
2,2
1,1
3,3
1,1
5,5
1,1
4,4
3,3
3,3
4,4
1,1
5,5
2,2
4,4
3,3
5,5
2,2
4,4
5,5
2,2
2,2
4,4
1,1
4,4
3,3
2,2
4,4
2,2
2,2
2,2
4,4
1,1
1,1
2,2
1,1
2,2
1,1
5,5
3,3
2,2
2,2
4,4
6,6
2,2
5,5
3,3
6,6
4,4
3,3
4,4
4,4
4,4
2,2
2,2
3,3
1,1
4,4
4,4
2,2
4,4
4,4
3,3
5,5
6,6
3,3
3,3
1,1
3,3
3,3
4,4
2,2
2,2
7,7
3,3
4,4
2,2
5,5
5,5
2,2
3,3
3,3
4,4
5,5
2,2
5,5
2,2
7,7
2,2
2,2
1,1
5,5
3,3
1,1
2,2
2,2
4,4
2,2
4,4
2,2
1,1
5,5
4,4
5,5
3,3
5,5
5,5
3,3
5,5
3,3
2,2
5,5
5,5
4,4
6,6
13,13
2,2
2,2
5,5
2,2
5,5
2,2
3,3
4,4
7,7
4,4
4,4
5,5
1,1
7,7
4,4
4,4
3,3
4,4
4,4
4,4
2,2
7,7
1,1
5,5
5,5
3,3
5,5
3,3
2,2
4,4
2,2
8,8
5,5
4,4
3,3
4,4
3,3
5,5
2,2
3,3
3,3
1,1
5,5
4,4
4,4
3,3
8,8
3,3
5,5
2,2
4,4
6,6
2,2
3,3
3,3
2,2
5,5
3,3
