Source,Target,Source_repo,Target_repo
921769,921998,diskimage-builder,ironic-python-agent-builder
921927,921932,swift,puppet-swift
921930,921931,openstack-ansible-plugins,openstack-ansible
919725,921921,neutron-tempest-plugin,neutron
922012,921921,devstack,neutron
920459,921772,neutron,neutron-tempest-plugin
921726,921767,openstack-ansible,openstack-ansible-ops
921837,921735,openstack-ansible-plugins,openstack-ansible
921976,921735,openstack-ansible,openstack-ansible
921649,921650,neutron-lib,neutron
921647,921649,neutron,neutron-lib
921620,921638,tenks,kayobe
921512,921519,openstack-ansible-plugins,openstack-ansible-os_heat
921443,921444,openstack-ansible-plugins,openstack-ansible-os_heat
920770,921389,manila-tempest-plugin,devstack-plugin-ceph
921380,921381,kolla-ansible,kolla-ansible
915901,921381,kolla-ansible,kolla-ansible
921306,921311,neutron,neutron
921062,921091,openstacksdk,neutron
891617,921077,kolla,kolla-ansible
920979,920978,neutron-tempest-plugin,neutron
920405,920883,kolla,kolla-ansible
920758,920759,openstack-ansible,openstack-ansible-openstack_hosts
857978,920734,designate,designate-tempest-plugin
857978,920653,designate,designate-tempest-plugin
920365,920649,ironic,ironic
914043,920475,neutron-specs,neutron
920464,920465,openstacksdk,python-openstackclient
920308,920464,cinder,openstacksdk
920172,920237,ansible-collection-kolla,kolla-ansible
920172,920233,ansible-collection-kolla,kolla-ansible
920153,920192,ironic-python-agent,ironic-python-agent
920360,920177,neutron,neutron-tempest-plugin
920481,920177,neutron,neutron-tempest-plugin
920482,920177,neutron,neutron-tempest-plugin
920172,920131,ansible-collection-kolla,kolla-ansible
920172,920169,ansible-collection-kolla,kolla-ansible
914773,920156,octavia-lib,octavia
920062,920103,requirements,neutron
919994,919995,openstack-ansible,openstack-ansible-os_horizon
917229,919935,ironic,ironic
919826,919828,aodh,telemetry-tempest-plugin
919828,919827,telemetry-tempest-plugin,aodh
919902,919816,openstack-ansible,openstack-ansible
919655,919806,ovsdbapp,neutron
921440,919788,neutron,devstack
920271,919778,openstack-helm-images,openstack-helm
919648,919731,requirements,neutron
922012,919725,devstack,neutron-tempest-plugin
919696,919699,ovsdbapp,neutron
920062,919699,requirements,neutron
