Source,Target,Source_repo,Target_repo
918978,918979,releases,openstack-ansible
917082,887389,devstack-plugin-ceph,manila-tempest-plugin
916007,916009,project-config,governance
913612,714728,charms.openstack,openstack-zuul-jobs
913611,714728,charms.openstack,openstack-zuul-jobs
911096,911095,magnum,magnum-tempest-plugin
910580,910581,project-config,governance
910239,910240,project-config,governance
910018,910019,project-config,governance
907207,857003,ansible-collection-kolla,kolla-ansible
905571,901480,vitrage,vitrage-tempest-plugin
903099,903095,requirements,cinder
902318,714728,charms.openstack,openstack-zuul-jobs
902317,714728,charms.openstack,openstack-zuul-jobs
901430,901231,neutron,requirements
899158,866372,openstack-ansible,openstack-ansible
898238,909860,neutron,neutron-tempest-plugin
898015,798503,project-config,js-openstack-lib
897972,887389,devstack-plugin-ceph,manila-tempest-plugin
897447,897356,openstack-ansible-os_rally,openstack-ansible
894541,894915,project-config,governance
894459,894460,devstack,ironic
893831,893833,governance,releases
893831,893810,governance,election
893117,893118,project-config,governance
893026,893025,neutron-lib,neutron
892640,892633,tempest,nova
892638,892635,tempest,nova
890601,890592,watcher-tempest-plugin,tempest
890599,890592,manila-tempest-plugin,tempest
890598,890592,barbican-tempest-plugin,tempest
887224,885799,keystone,keystone-tempest-plugin
883740,879890,openstack-ansible-os_neutron,openstack-ansible
882808,882561,manila,manila-tempest-plugin
882211,882175,oslo.cache,openstack-zuul-jobs
882210,882175,oslo.concurrency,openstack-zuul-jobs
882209,882175,oslo.i18n,openstack-zuul-jobs
882208,882175,oslo.privsep,openstack-zuul-jobs
882207,882175,oslo.metrics,openstack-zuul-jobs
882206,882175,oslo.middleware,openstack-zuul-jobs
882205,882175,oslo.serialization,openstack-zuul-jobs
882204,882175,futurist,openstack-zuul-jobs
882203,882175,tooz,openstack-zuul-jobs
882202,882175,oslo.config,openstack-zuul-jobs
882201,882175,oslo.log,openstack-zuul-jobs
882200,882175,oslo.utils,openstack-zuul-jobs
882199,882175,oslo.context,openstack-zuul-jobs
882198,882175,oslo.reports,openstack-zuul-jobs
882197,882175,oslo.limit,openstack-zuul-jobs
882196,882175,oslo.service,openstack-zuul-jobs
882195,882175,stevedore,openstack-zuul-jobs
882194,882175,debtcollector,openstack-zuul-jobs
882193,882175,oslo.vmware,openstack-zuul-jobs
882192,882175,oslo.db,openstack-zuul-jobs
882191,882175,oslo.versionedobjects,openstack-zuul-jobs
882190,882175,taskflow,openstack-zuul-jobs
882069,882175,castellan,openstack-zuul-jobs
882068,882175,oslo.rootwrap,openstack-zuul-jobs
882067,882175,oslo.upgradecheck,openstack-zuul-jobs
882066,882175,oslotest,openstack-zuul-jobs
882065,882175,etcd3gw,openstack-zuul-jobs
882064,882175,oslo.tools,openstack-zuul-jobs
882063,882175,microversion-parse,openstack-zuul-jobs
882062,882175,oslo.policy,openstack-zuul-jobs
880013,880012,project-config,patrole
878662,857031,neutron,neutron-tempest-plugin
877899,874797,neutron,neutron
877831,870030,neutron,neutron-specs
877712,870030,neutron,neutron-specs
876747,887389,devstack-plugin-ceph,manila-tempest-plugin
875782,876434,openstack-ansible-rabbitmq_server,openstack-ansible
875757,871189,ansible-role-pki,openstack-ansible
873845,873843,governance,project-config
872048,871864,manila-tempest-plugin,manila
869525,866218,placement,nova
869025,866372,openstack-ansible,openstack-ansible
866697,866126,openstack-ansible-os_nova,openstack-ansible
866694,866126,openstack-ansible-os_cinder,openstack-ansible
866686,866126,openstack-ansible-os_glance,openstack-ansible
866684,866126,openstack-ansible-os_keystone,openstack-ansible
865961,862924,openstack-ansible-os_neutron,openstack-ansible
864993,864920,ansible-collection-kolla,kolla-ansible
864948,860795,devstack-plugin-ceph,devstack
864946,860795,swift,devstack
863955,864067,project-config,governance
863954,863958,project-config,governance
863581,851099,requirements,swift
863165,863166,project-config,governance
863158,863161,project-config,governance
858606,858554,diskimage-builder,project-config
858018,857031,neutron,neutron-tempest-plugin
855017,854985,kolla-ansible,ansible-collection-kolla
853589,853503,tripleo-upgrade,tripleo-quickstart
852935,852769,requirements,aodh
851839,851838,kayobe,kolla-ansible
849229,847272,openstack-ansible-os_rally,openstack-ansible
848718,847272,openstack-ansible-os_rally,openstack-ansible
848666,847272,openstack-ansible-os_rally,openstack-ansible
848589,847272,openstack-ansible-os_horizon,openstack-ansible
844850,843573,openstack-ansible-ops,openstack-ansible-ops
