Feat,Fold0,Fold1,Fold2,Fold3,Fold4,Fold5,Fold6,Fold7,Fold8,Fold9
has_feature_addition,1,1,1,1,1,1,1,1,1,1
deletions,1,1,1,1,1,1,1,1,1,1
insertions,1,1,1,1,1,1,1,1,1,1
num_file_types,1,1,1,1,1,1,1,1,1,1
is_preventive,1,1,1,1,1,1,1,1,1,1
project_changes_owner,1,1,1,1,1,1,1,0,0,0
whole_changes_owner,0,0,0,0,0,0,0,0,1,1
is_refactoring,1,1,1,1,1,1,1,1,1,1
description_word_count,0,0,0,0,0,0,0,0,0,0
whole_within_project_changes,1,1,1,1,1,1,1,1,1,1
is_merge,1,1,1,1,1,1,1,1,1,1
num_directory_files,1,1,1,1,1,1,1,1,1,1
within_project_changes,0,0,0,0,0,0,0,0,0,0
is_corrective,1,1,1,1,1,1,1,1,1,1
description_length,1,1,1,1,1,1,1,1,1,1
num_file_changes,1,1,1,1,1,1,1,1,1,1
project_age,1,1,1,1,1,1,1,1,1,1
is_non_functional,1,1,1,1,1,1,1,1,1,1
within_project_changes_owner,0,0,0,0,0,0,0,0,0,0
num_dev_modified_files,0,0,0,0,0,0,0,0,1,0
avg_num_dev_modified_files,1,1,0,0,0,0,0,0,0,0
code_churn,0,0,0,0,0,0,0,0,0,0
last_mth_dep_proj_nbr,1,1,1,1,1,1,1,1,1,1
projects_contributed_owner,1,1,1,1,1,1,1,1,1,1
min_num_mod_file_dep_cha,0,0,0,0,1,0,0,0,0,1
max_num_mod_file_dep_cha,0,1,1,1,0,0,1,1,1,0
median_num_mod_file_dep_cha,0,0,0,0,0,0,0,0,0,0
mean_num_mod_file_dep_cha,0,0,0,0,0,0,0,0,0,0
pctg_mod_file_dep_cha,1,1,1,1,1,1,1,1,1,1
cross_project_changes,0,0,0,0,0,0,0,1,1,1
last_mth_cro_proj_nbr,0,0,0,0,0,0,0,0,0,0
cross_project_changes_owner,0,0,1,1,1,1,1,1,1,1
ratio_dep_chan_owner,1,1,1,1,1,1,1,1,1,1
pctg_cross_project_changes,1,1,1,1,1,1,1,1,1,1
pctg_cross_project_changes_owner,1,1,1,1,1,1,1,1,1,1
