pctg_inter_dep_cha,src_trgt_co_changed_nbr,dev_in_src_change_nbr,rev_in_src_change_nbr,num_shrd_desc_tkns,num_shrd_file_tkns,desc_sim,subject_sim,add_lines_sim,del_lines_sim,has_feature_addition_target,deletions_target,cross_project_changes_target,insertions_target,num_file_types_target,is_preventive_target,last_mth_cro_proj_nbr_target,project_changes_owner_target,is_refactoring_target,is_merge_target,num_directory_files_target,is_corrective_target,description_length_target,num_file_changes_target,project_age_target,is_non_functional_target,subject_length_target,last_mth_dep_proj_nbr_target,ratio_dep_chan_owner_target,projects_contributed_owner_target,pctg_cross_project_changes_target,pctg_cross_project_changes_owner_target,has_feature_addition_source,deletions_source,insertions_source,num_file_types_source,is_preventive_source,last_mth_cro_proj_nbr_source,project_changes_owner_source,is_refactoring_source,cross_project_changes_owner_source,whole_within_project_changes_source,is_merge_source,num_directory_files_source,is_corrective_source,description_length_source,num_file_changes_source,project_age_source,is_non_functional_source,subject_length_source,last_mth_dep_proj_nbr_source,ratio_dep_chan_owner_source,projects_contributed_owner_source,pctg_cross_project_changes_source,pctg_cross_project_changes_owner_source,whole_changes_owner_target,whole_changes_owner_source,cross_project_changes_source
0.012158261,0.017141731,0.028361857,0.012649922,0.13842957,0.03381006,0.022960123,0.012242835,0.010847238,0.009978112,0.01649205,0.009017963,0.01623373,0.012696571,0.023139114,0.015918732,0.011515026,0.013211123,0.01526887,0.005648882,0.013770474,0.021993399,0.016957948,0.012578933,0.0116230985,0.025415096,0.011617954,0.021689001,0.010875571,0.020282099,0.013342164,0.008176497,0.018777233,0.012913846,0.015998064,0.015924625,0.006299591,0.011949635,0.008501369,0.014317717,0.009086621,0.021837482,0.049429867,0.009510552,0.036935877,0.017457472,0.014389572,0.0133006545,0.0117066195,0.013344386,0.015609699,0.0127305575,0.021434447,0.009881926,0.012618204,0.0,0.0,0.0
0.011084466,0.0122179575,0.008597389,0.008453643,0.19374682,0.049657974,0.020975897,0.015491625,0.008729828,0.011964858,0.013643921,0.012075278,0.010268576,0.011989664,0.014276729,0.0099666435,0.010089298,0.00791352,0.012349428,0.017805804,0.013897197,0.02889016,0.016721189,0.0107544875,0.012745732,0.012897551,0.010469752,0.01308784,0.013711561,0.024159575,0.011048164,0.008874283,0.022309199,0.012849626,0.016585859,0.009090523,0.017216953,0.015497293,0.0,0.01104784,0.0097634,0.019231314,0.060886417,0.0112483995,0.017923042,0.021227898,0.011374716,0.012974178,0.0044446643,0.01087339,0.014535609,0.0103318505,0.025888285,0.013392079,0.012750616,0.0,0.0,0.0
0.010182331,0.012921377,0.009478219,0.010311858,0.17185499,0.044209093,0.020027986,0.013403823,0.008041111,0.010136831,0.011507498,0.012879819,0.0,0.013099051,0.01779907,0.011596061,0.013660098,0.007873125,0.011731056,0.014995074,0.0139682265,0.031380635,0.019239167,0.011989297,0.013406252,0.008479752,0.0088428855,0.0098330965,0.0119905565,0.019481692,0.01245021,0.008234608,0.023748705,0.01103217,0.017749455,0.008467618,0.033602994,0.009311997,0.008805108,0.009382216,0.013101459,0.018093426,0.04631815,0.011558049,0.018048488,0.020556202,0.012000276,0.01144822,0.006177906,0.011299616,0.018665045,0.011814931,0.017310767,0.012554461,0.010801393,0.020617474,0.022529071,0.0
0.008907988,0.011953894,0.010582003,0.009922759,0.23248155,0.047255542,0.019950408,0.01838663,0.007123762,0.00904882,0.007857987,0.010001338,0.0,0.012615837,0.0147552835,0.011564077,0.015386472,0.008125046,0.008617116,0.011541661,0.0,0.03229477,0.018858613,0.009586969,0.011248027,0.0065888334,0.009582485,0.014180938,0.009756646,0.018027592,0.011895921,0.00972168,0.035535734,0.010906425,0.020832255,0.0065227193,0.03202216,0.0,0.010037228,0.010183021,0.008473193,0.017323166,0.015076326,0.0,0.020496212,0.021952005,0.01174724,0.013074507,0.010784137,0.008676904,0.0146299135,0.011866302,0.017266057,0.013117334,0.011224601,0.019623145,0.030808806,0.0
0.009637542,0.009746721,0.01210012,0.010225639,0.2292529,0.071893804,0.017798927,0.015276896,0.0066027823,0.0068873432,0.0055632703,0.010413873,0.0,0.011673801,0.011837214,0.015332489,0.017808076,0.0,0.011215994,0.014899901,0.012479804,0.02855197,0.019782206,0.009319517,0.011989086,0.011966598,0.008857715,0.022441259,0.0098665925,0.018865893,0.01144532,0.00667557,0.017603038,0.010229087,0.01973972,0.00836605,0.022109058,0.0,0.0,0.008935726,0.00791347,0.015749358,0.023346229,0.0,0.018810784,0.020891113,0.008304723,0.010232711,0.007293736,0.009543693,0.016295549,0.011162918,0.027669333,0.015204987,0.01022143,0.018788166,0.020183166,0.010997024
0.007843068,0.010835473,0.010018839,0.008428859,0.21482614,0.07478185,0.013523472,0.012830889,0.005316126,0.0061578816,0.0111424085,0.011800527,0.011574113,0.010597901,0.012583019,0.016550612,0.018011805,0.0,0.01962656,0.009428021,0.0,0.028766567,0.018407041,0.0093165,0.010201421,0.012662671,0.008105072,0.02057363,0.013359114,0.029134762,0.011760548,0.0071366164,0.023258936,0.009667872,0.018789092,0.008387197,0.028746685,0.0112036895,0.0,0.010163696,0.0078061954,0.014490667,0.029929694,0.0,0.017953211,0.019870171,0.0107993195,0.010073726,0.016526459,0.009758447,0.011943658,0.009861854,0.021249657,0.010570361,0.009740878,0.0148182,0.019088747,0.0
0.008814207,0.008163757,0.0082033025,0.009156625,0.22877714,0.060694642,0.014937828,0.009315292,0.005907181,0.0071372613,0.0075880312,0.008636073,0.011847355,0.010335034,0.017276332,0.015847918,0.021095969,0.0,0.012447022,0.011965806,0.0,0.01734115,0.019172011,0.010087448,0.010307416,0.007230717,0.009206715,0.023293145,0.010142406,0.02472845,0.009633449,0.005794646,0.03516041,0.011842733,0.017789645,0.00858957,0.031974755,0.013573313,0.0,0.00648689,0.007982673,0.014968145,0.023621365,0.0,0.014849055,0.020276008,0.008806308,0.009666795,0.016231082,0.011175819,0.013082483,0.012942688,0.029364213,0.012977724,0.00703194,0.01572631,0.021405457,0.009390324
0.0076002106,0.009625032,0.0077512534,0.0,0.23932792,0.0660365,0.01415517,0.009577575,0.006362107,0.0063314834,0.007839372,0.00844496,0.011051785,0.010910573,0.015014304,0.018921753,0.018416798,0.00755008,0.01598201,0.012658575,0.0,0.02477341,0.018608375,0.008176895,0.009678694,0.008565834,0.009557486,0.021831784,0.012035745,0.020125372,0.012835549,0.008017573,0.02959219,0.011364686,0.01988412,0.00731411,0.032976795,0.011088015,0.0,0.009618418,0.007095488,0.013840538,0.014887822,0.0,0.015878236,0.019363916,0.010141247,0.0077981306,0.013681338,0.010535936,0.009486276,0.009689085,0.023380207,0.01312737,0.009480838,0.016519485,0.024654401,0.010837135
0.006487061,0.010508706,0.007860718,0.0,0.23146063,0.066392034,0.014752751,0.010279406,0.006214901,0.005976585,0.008810785,0.01060959,0.011321214,0.012018916,0.020091675,0.016891565,0.018379502,0.008366599,0.014940246,0.007195842,0.008332028,0.026833538,0.019003112,0.0096451165,0.00920517,0.007936235,0.008664241,0.020884188,0.013570588,0.030393563,0.013602724,0.009068667,0.0359957,0.0091314595,0.019718133,0.0077783745,0.037249222,0.0,0.0,0.0052613686,0.0075919563,0.012942467,0.012509742,0.0,0.01396993,0.020518063,0.00918641,0.009050445,0.005291582,0.009872581,0.013172015,0.010072858,0.021380492,0.014081027,0.007716392,0.01530082,0.024891583,0.011619565
0.008710155,0.011336317,0.0083020115,0.0,0.23717342,0.07720327,0.01445359,0.008530193,0.0064061214,0.0061241332,0.0053354045,0.010268833,0.013032898,0.009006328,0.016604546,0.016695214,0.018572437,0.006772056,0.015978223,0.008101161,0.0,0.031217162,0.018506236,0.009107303,0.0076994686,0.014521545,0.007691181,0.017890997,0.010510532,0.021527918,0.013856747,0.007196849,0.027385565,0.0076826825,0.020915145,0.007975107,0.031448565,0.012133472,0.0,0.008858144,0.007832224,0.014148776,0.009637744,0.0,0.012591037,0.020362044,0.008141822,0.009192016,0.011059488,0.008717737,0.011834529,0.009592055,0.03274131,0.01639991,0.0077957273,0.016049376,0.019491887,0.009681404
