Feature,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9,fold10
pctg_cross_project_changes,0.2235850412137641,0.3288705355378764,0.3751533317061538,0.4020753659716141,0.4211064257574424,0.4366982713375487,0.4632644852497994,0.4790136436408252,0.4927146283835393,0.5040431678366523
cross_project_changes,1.0,4.0,6.0,,12.0,,19.0,23.0,27.0,32.0
pctg_whole_cross_project_changes,0.074260174249436,0.0884941059272787,0.096116261645391,0.118928714633552,0.1654965792988734,0.1913744745952609,0.2109826555362788,0.2144929587431887,0.2202243753221196,0.2272037071645567
last_three_mth_cro_proj_nbr,1.0,,,,,,,,,
last_mth_cro_proj_nbr,0.0,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
code_churn,22.0,21.0,21.0,20.0,20.0,19.0,18.0,17.0,16.0,16.0
deletions,3.0,,,,,,,,,
num_file_types,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
num_directory_files,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
whole_changes_deps,6.0,7.0,9.0,11.0,14.0,17.0,22.0,27.0,33.0,42.0
pctg_cross_project_changes_owner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cross_project_changes_owner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
projects_contributed_owner,6.0,7.0,8.0,9.0,10.0,11.0,13.0,14.0,16.0,18.0
within_project_changes_owner,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
project_age,402.9355092592592,465.5759606481481,533.1626215277778,572.2963194444444,596.6244907407408,643.6896469907408,705.0131886574075,778.3752372685185,863.3094039351852,946.965787037037
last_mth_dep_proj_nbr,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
num_file_changes,19.0,20.0,20.0,20.0,20.0,19.0,20.0,20.0,20.0,22.0
avg_num_dev_modified_files,4.333333333333333,4.5,4.333333333333333,,,,,,,
num_recent_branch_files_changes,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
description_word_count,31.0,34.0,34.0,34.0,33.0,33.0,33.0,34.0,34.0,34.0
subject_length,43.0,43.0,42.0,42.0,42.0,42.0,41.0,41.0,41.0,41.0
is_corrective,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_refactoring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_preventive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_non_functional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_feature_addition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_merge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insertions,,13.0,13.0,13.0,12.0,11.0,11.0,10.0,10.0,10.0
within_project_changes,,105.0,96.0,90.0,88.0,86.0,88.0,89.0,99.0,110.0
last_three_mth_dep_proj_nbr,,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
hist_dep_proj_nbr,,,7.0,9.0,11.0,,,,,26.0
project_changes_owner,,,,,20.0,,,21.0,,
whole_cross_project_changes,,,,,,,,,8623.0,10345.0
projects_changes_deps,,,,,,,,,,3.0
