Feature,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9,fold10
pctg_cross_project_changes,0.3720027646382917,0.4412406305057166,0.4542901343202454,0.471453659811489,0.5000789544632263,0.5201658823455342,0.5342280945609448,0.5430529593528723,0.5496374309214793,0.5482054723185589
cross_project_changes,10.0,15.0,,,,,,,,71.0
pctg_whole_cross_project_changes,0.0934920755845975,0.1395348879814717,0.1845741282122529,0.206568087237341,0.21376855915915,0.2202630229496627,0.227236665966052,0.2310379436789569,0.2399118981224973,0.2523688318841653
last_three_mth_cro_proj_nbr,3.0,,,,,,,,,
last_mth_cro_proj_nbr,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
code_churn,14.0,18.0,19.0,19.0,19.0,18.0,18.0,18.0,18.0,18.0
insertions,8.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
num_file_types,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
num_directory_files,1.0,2.0,2.0,2.0,2.0,2.0,,,,
projects_changes_deps,3.0,,,,,,,,,
whole_changes_count,59636.0,,,,,,,,,
pctg_cross_project_changes_owner,0.0,0.0,0.0,0.0033729210747844,0.0333333333333333,0.0606060606060606,0.0867388690337018,0.1005263303692623,0.1111111111111111,0.1149766183545916
cross_project_changes_owner,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
projects_contributed_owner,11.0,12.0,13.0,14.0,17.0,19.0,21.0,23.0,26.0,27.0
project_age,535.9465914351852,622.6999305555555,654.2027488425927,708.7381770833333,764.940150462963,838.4969097222222,913.3520775462964,998.7596180555556,1083.1882060185185,1154.2235185185186
last_three_mth_dep_proj_nbr,6.0,5.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0
last_mth_dep_proj_nbr,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
num_file_changes,21.0,25.0,26.0,25.0,26.0,26.0,27.0,28.0,29.0,30.0
avg_num_dev_modified_files,5.775,,,,,,,,,
num_recent_branch_files_changes,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0
description_word_count,38.0,38.0,38.0,38.0,38.0,39.0,39.0,40.0,40.0,41.0
subject_length,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
is_corrective,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_refactoring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_preventive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_non_functional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_feature_addition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_merge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whole_changes_deps,,26.0,32.0,38.0,47.0,58.0,66.0,78.0,92.0,106.0
within_project_changes,,111.0,113.0,117.0,121.0,131.0,142.0,162.0,183.0,212.0
within_project_changes_owner,,2.0,2.0,,,3.0,,,,
hist_dep_proj_nbr,,,,19.0,24.0,28.0,31.0,34.0,36.0,38.0
last_mth_mod_uniq_proj_nbr,,,,,,424.0,436.0,443.0,445.0,435.0
