Feature,Ranking,Classifier,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9,mean
ratio_dep_chan_owner,1,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.1
ratio_dep_chan_owner,1,RF,5.363636363636363,0.20270270270270274,0.020833333333333353,0.03157894736842108,0.0,0.0,-0.010416666666666676,0.0,-0.030769230769230795,0.0,0.5577565449604923
ratio_dep_chan_owner,1,XGBoost,29.171817779541016,0.004383780527859926,0.0010949531570076942,0.0023033262696117163,0.059621237218379974,0.003611972089856863,0.00659079710021615,-0.009322219528257847,-0.05275608226656914,0.06495574116706848,2.9252301285276188
ratio_dep_chan_owner,1,AdaBoost,4503599627370484.0,0.01150143174598086,-0.0015987232973833944,0.0,0.0018244076451179613,0.0,0.0,0.0,-0.001810908478994964,-0.0017324298393307945,450359962737048.4
project_changes_owner,2,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
project_changes_owner,2,RF,0.0,-0.081081081081081,-0.052083333333333266,-0.21052631578947364,0.0,-0.1326530612244898,-0.1666666666666666,0.020833333333333353,0.1692307692307692,0.12499999999999993,-0.03279463555309419
project_changes_owner,2,XGBoost,-0.2453756183385849,-0.08294820785522461,-0.019708260893821716,-0.10115338116884232,-0.19079279899597168,-0.04326023906469345,-0.4102868139743805,0.010144355706870556,0.2346724420785904,0.5150112509727478,-0.033369727153331044
project_changes_owner,2,AdaBoost,-0.04874016284653992,-0.03274441324668413,-0.014113230202893604,-0.01549526709148592,-0.021379570965787503,-0.00737969944681826,-0.01843800537925918,0.02012589295690935,0.015146813008989539,0.01294524052034527,-0.011007240269322436
pctg_cross_project_changes,2,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pctg_cross_project_changes,2,RF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pctg_cross_project_changes,2,XGBoost,0.0,0.0009366781450808048,0.00014987339091021568,0.004219149239361286,0.35101401805877686,0.14317657053470612,-0.4794367253780365,-0.29315364360809326,0.029242195188999176,-0.2317250370979309,-0.04755769215262262
pctg_cross_project_changes,2,AdaBoost,0.0,0.01602451636410584,0.0,0.0,0.008926960370550156,0.00709043578005721,0.005617324330657354,0.009391426911747556,0.011214279777948295,0.012505279224370046,0.007077022275943645
description_length,3,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.1
description_length,3,RF,-0.18181818181818185,0.0,-0.010416666666666676,0.010526315789473694,-0.01020408163265307,0.0,0.010416666666666676,0.020833333333333353,0.015384615384615398,-0.03125000000000003,-0.017652799894341254
description_length,3,XGBoost,0.0,-0.004049975425004959,0.0011692034313455224,0.003117706859484315,0.03837612271308899,0.0022471826523542404,0.006101664621382952,-9.518014849163592e-05,0.03735194727778435,0.06194378063082695,0.014616245261277073
description_length,3,AdaBoost,0.0,0.011174929579528727,0.007151034315043788,0.0034413847953204168,0.004505468964248528,0.003832950115040798,0.004279442080415483,0.001450869944842072,0.0037285946337726928,0.004591335024419648,0.004415600945263215
whole_within_project_changes,4,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whole_within_project_changes,4,RF,1.272727272727273,0.04054054054054058,0.0,-0.010526315789473694,0.01020408163265307,0.0,-0.031249999999999913,0.010416666666666676,0.09230769230769222,-0.015625000000000014,0.1368794938085352
whole_within_project_changes,4,XGBoost,0.0,0.0014160661958158016,0.0004956983029842377,0.0007352737011387944,0.03970565274357796,0.000989826861768961,0.003122545313090086,-0.00047916200128383934,0.053136490285396576,0.15628673136234283,0.02554091227648314
whole_within_project_changes,4,AdaBoost,0.0,0.0,0.002515080375135999,-0.003365583084779216,-0.0023644633658989906,0.0,0.0,0.003429481050417998,0.0012667350136811994,0.001624024593337272,0.0003105274581894262
project_age,5,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
project_age,5,RF,0.09090909090909087,0.0,-0.010416666666666676,0.0,0.0,0.0,-0.010416666666666676,-0.020833333333333353,0.0,-0.04687500000000004,0.00023674242424241292
project_age,5,XGBoost,0.0,-0.0014604417374357581,-0.0010211205808445811,-0.0024939016439020634,-0.030728748068213463,0.0022546022664755583,0.004142093937844038,0.0013534182216972113,-0.036123745143413544,-0.16555781662464142,-0.022963565937243403
project_age,5,AdaBoost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002429913062849788,-0.0002429913062849788
projects_contributed_owner,6,ET,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.2
projects_contributed_owner,6,RF,1.1818181818181819,0.27027027027027023,0.020833333333333353,0.03157894736842108,0.0,0.0,0.020833333333333353,0.020833333333333353,0.04615384615384619,-0.03125000000000003,0.15610712456107195
projects_contributed_owner,6,XGBoost,0.0,0.003709283657371998,0.000857996812555939,0.003556809388101101,47.297855377197266,0.0013380065793171525,0.01399855874478817,-0.00023674250405747443,0.10108620673418045,0.15359213948249817,4.757575763609202
projects_contributed_owner,6,AdaBoost,0.0,0.03521213177778858,0.0,0.0032270792942758215,0.006026210172709137,0.002123479987932164,0.0015255222438560537,0.0,0.0,0.0,0.0048114423476561755
pctg_cross_project_changes_owner,6,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pctg_cross_project_changes_owner,6,RF,0.0,0.0,-0.062499999999999944,-0.1368421052631579,-0.08163265306122446,-0.08163265306122446,-0.21874999999999997,-0.15624999999999992,0.0,-0.07812500000000007,-0.08157324113856068
pctg_cross_project_changes_owner,6,XGBoost,0.0,0.0,0.0,-0.23990413546562195,-0.5910041332244873,-0.016533588990569115,-0.10584497451782227,-0.035203129053115845,-0.10920119285583496,0.00410992419347167,-0.10935812299139798
pctg_cross_project_changes_owner,6,AdaBoost,0.0,-0.02858560126139401,0.0,-0.019173131517401857,-0.014729631738850548,-0.014460951426738746,-0.0131872809339174,-0.021072597814926285,-0.006836852268685229,-0.0022989380945493175,-0.012034498505646338
subject_length,7,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subject_length,7,RF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010416666666666676,0.0,-0.09375000000000008,-0.010416666666666675
subject_length,7,XGBoost,0.0,-0.14389155805110931,1.405757188796997,0.0023059032391756773,0.1313115507364273,-0.3304390609264374,-0.22721844911575317,-0.0026323110796511173,0.7339383363723755,-0.01830362156033516,0.15508279784116893
subject_length,7,AdaBoost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018955769357039303,-0.0020838844367784813,-0.00039794613724824113
cross_project_changes_owner,7,ET,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.1
cross_project_changes_owner,7,RF,0.0,0.054054054054054106,-0.09374999999999997,-0.11578947368421051,-0.11224489795918366,-0.12244897959183673,-0.1666666666666666,-0.15624999999999992,-0.030769230769230795,-0.14062499999999994,-0.0884490194617074
cross_project_changes_owner,7,XGBoost,0.0,-0.006241267081350088,-3.223083695047535e-06,0.0002748961269389838,-0.0033612523693591356,0.0022445886861532927,0.01031459029763937,-0.08191224187612534,0.07266557961702347,0.11590442806482315,0.010988609838204867
cross_project_changes_owner,7,AdaBoost,0.0,0.011954035960057575,0.0,0.006940774426249569,0.008296916195718767,0.010528851423967754,0.016788546576371067,0.0,0.0015248020447990503,0.00358909419301349,0.005962302082017727
num_file_changes,7,ET,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.2
num_file_changes,7,RF,0.5454545454545455,0.013513513513513526,-0.020833333333333353,-0.052631578947368356,-0.02040816326530614,0.01020408163265307,-0.04166666666666659,-0.04166666666666659,0.1692307692307692,0.03125000000000003,0.05924465009521403
num_file_changes,7,XGBoost,0.0,0.000545861606951803,-0.0008936297381296754,0.0028708577156066895,-0.013237026520073414,0.0024382832925766706,-0.008816062472760677,-0.012681064195930958,0.2346724420785904,-0.2069898098707199,-0.0002090148103889078
num_file_changes,7,AdaBoost,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016290790644377271,-0.007876063740804852,0.015146813008989539,-0.0015689037210452946,0.00040727664827016653
insertions,8,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insertions,8,RF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insertions,8,XGBoost,0.9526570439338684,1.2187711000442505,1.3008654117584229,-0.4910412132740021,0.21543563902378082,0.444230854511261,-0.6540129780769348,-0.2105862945318222,-0.01397758536040783,-0.3257128596305847,0.2436629118397832
insertions,8,AdaBoost,0.05761700641080532,0.004232658137778597,0.0,0.0,0.0,0.0,0.002509304952104347,0.0018374897029725314,0.0,0.0029551555961869046,0.00691516147998477
last_mth_dep_proj_nbr,9,ET,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.2
last_mth_dep_proj_nbr,9,RF,0.0,0.0,-0.020833333333333353,-0.02105263157894727,-0.01020408163265307,-0.01020408163265307,0.010416666666666676,-0.020833333333333353,-0.030769230769230795,0.03125000000000003,-0.007223002561348421
last_mth_dep_proj_nbr,9,XGBoost,0.0,0.0005160383298061788,-0.0002650687820278108,0.0015658352058380842,0.037022002041339874,0.002261840971186757,-0.004035572987049818,0.0035405687522143126,0.05638818070292473,0.004830971825867891,0.01018247960601002
last_mth_dep_proj_nbr,9,AdaBoost,0.0,-0.006716148401363388,0.0,0.0,0.0022531024105841286,0.0030983429350042013,0.0,0.001750227921276142,0.0,0.0015885167835902338,0.00019740416490913185
deletions,9,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deletions,9,RF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deletions,9,XGBoost,0.0,0.145778626203537,0.9936309456825256,0.1668245941400528,1.017466425895691,1.7969235181808472,5.421298980712891,1.6485750675201416,2.785715103149414,1.4152276515960693,1.539144091308117
deletions,9,AdaBoost,-0.4149814627215419,-0.005516267952783711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04204977306743256
max_num_mod_file_dep_cha,9,ET,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2
max_num_mod_file_dep_cha,9,RF,0.0,0.054054054054054106,0.0,0.02105263157894739,-0.03061224489795921,-0.08163265306122446,0.010416666666666676,0.020833333333333353,0.1692307692307692,0.12499999999999993,0.0288342556904587
max_num_mod_file_dep_cha,9,XGBoost,0.0,-0.006241267081350088,0.0010041695786640048,0.004390427377074957,0.0513177216053009,-0.016533588990569115,0.008499539457261562,0.010144355706870556,0.2346724420785904,0.5150112509727478,0.0802265050704591
max_num_mod_file_dep_cha,9,AdaBoost,0.0,0.011954035960057575,0.01107285973907991,0.01492220506307606,0.007335780904459153,-0.014460951426738746,0.009042447926467256,0.02012589295690935,0.015146813008989539,0.01294524052034527,0.008808432465264537
num_directory_files,10,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_directory_files,10,RF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333353,0.04615384615384619,0.03125000000000003,0.009823717948717958
num_directory_files,10,XGBoost,0.0,0.3085102438926697,0.7662760019302368,-0.1657201200723648,0.13062454760074615,-0.22501610219478607,-0.3196898102760315,-0.0029250383377075195,-0.17784026265144348,0.14649099111557007,0.046071045100688934
num_directory_files,10,AdaBoost,0.0,0.0,0.0,0.0,0.004987776059884714,0.0,0.0,0.0,0.0,0.003067472570833639,0.0008055248630718353
cross_project_changes,11,ET,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-0.4
cross_project_changes,11,RF,0.0,0.054054054054054106,0.0,0.02105263157894739,-0.03061224489795921,-0.08163265306122446,0.010416666666666676,-0.010416666666666676,0.06153846153846142,-0.14062499999999994,-0.011622475078772069
cross_project_changes,11,XGBoost,0.0,-0.006241267081350088,0.0010041695786640048,0.004390427377074957,0.0513177216053009,-0.016533588990569115,0.008499539457261562,-0.015286440029740334,-0.1866903007030487,-0.09687431156635284,-0.025641405035275965
